locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
77,East New York/Pennsylvania Avenue,Brooklyn,8586,0.0208835700272579,0.969343432572177,0.00311971001386037,0.00665328738670524
78,East Tremont,Bronx,10205,0.0418061463791688,0.943707367093383,0.00369414552881802,0.01079234099863
79,East Village,Manhattan,17943,0.0780625547660414,0.879366405457803,0.0158799629091221,0.0266910768670333
80,East Williamsburg,Brooklyn,14412,0.0868587554011176,0.884960157204747,0.00830980552143456,0.019871281872701
81,Eastchester,Bronx,11135,0.0332102361903239,0.955207834438683,0.00358058624862937,0.00800134312236353
82,Elmhurst,Queens,17652,0.182742952427529,0.794473648376364,0.00939832614880073,0.0133850730473063
83,Elmhurst/Maspeth,Queens,6222,0.212938332459652,0.764848889009979,0.00781656045721559,0.014396218073153
84,Eltingville/Annadale/Prince's Bay,Staten Island,13046,0.758168627148824,0.223792312455079,0.0125655203653209,0.00547354003077575
85,Erasmus,Brooklyn,8646,0.0286985526713354,0.955807479912113,0.00373776124655686,0.0117562061699946
86,Far Rockaway,Queens,13192,0.239592574163187,0.743998555774446,0.00867783798195828,0.00773103208040968
87,Financial District North,Manhattan,5029,0.133324748809658,0.827303382299099,0.0292099023629547,0.0101619665282879
88,Financial District South,Manhattan,701,0.135318697953854,0.825871835908563,0.0255047381453942,0.013304727992189
89,Flatbush/Ditmas Park,Brooklyn,35521,0.0932566090624434,0.883564092664229,0.00593816425703518,0.0172411340162923
90,Flatiron,Manhattan,9228,0.0728316052695035,0.897305573831831,0.0166742843359941,0.0131885365626719
91,Flatlands,Brooklyn,24919,0.116116317270334,0.868287364836998,0.0051084428963674,0.0104878749963012
92,Flushing,Queens,14031,0.244400348677059,0.730916254466342,0.0113101987181262,0.0133731981384735
93,Flushing Meadows-Corona Park,Queens,1985,0.285902979381544,0.688608840141591,0.0122184891262981,0.0132696913505672
94,Fordham South,Bronx,6348,0.0483391968663213,0.93662447536715,0.00390826413827001,0.0111280636282583
95,Forest Hills,Queens,30660,0.281927846983535,0.687644379709651,0.0155434815733052,0.0148842917335093
96,Forest Park/Highland Park,Queens,2322,0.37869016308319,0.586295231091766,0.0172352528560832,0.0177793529689617
97,Fort Greene,Brooklyn,12059,0.0288371111290867,0.943688717770692,0.00898952707075024,0.0184846440294709
98,Fresh Meadows,Queens,6037,0.302830620557909,0.673460086589676,0.00957965143114826,0.0141296414212664
99,Freshkills Park,Staten Island,1972,0.603386748409649,0.368327246786805,0.0156368695982061,0.0126491352053397
100,Garment District,Manhattan,792,0.130589767405676,0.840370397725816,0.0166799695388935,0.012359865329615
101,Glen Oaks,Queens,9155,0.300590140765711,0.673603302697284,0.0135566191369693,0.0122499374000359
102,Glendale,Queens,8139,0.436221450268664,0.530769631052127,0.0166164651876729,0.0163924534915357
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,9,0,0.666666666666667,0,0.333333333333333
106,Gowanus,Brooklyn,3163,0.0624712649322092,0.90601201949517,0.0100060456447298,0.0215106699278907
107,Gramercy,Manhattan,11588,0.099843522957428,0.870321444024492,0.0191872856089418,0.0106477474091379
108,Gravesend,Brooklyn,7310,0.432776761584626,0.545311988697797,0.00949172490476773,0.0124195248128085
109,Great Kills,Staten Island,17867,0.729814235955261,0.24897756164831,0.0138861082831588,0.00732209411326943
110,Great Kills Park,Staten Island,733,0.725888324873096,0.253807106598985,0.0114213197969543,0.00888324873096447
111,Green-Wood Cemetery,Brooklyn,129,0.10398556493253,0.881102437418675,0.00926294832045402,0.00564904932834082
112,Greenpoint,Brooklyn,14191,0.131094569183364,0.831325857915562,0.0115816233817667,0.0259979495193071
113,Greenwich Village North,Manhattan,9352,0.072136216385413,0.90429707497066,0.0130694985597193,0.0104972100842076
114,Greenwich Village South,Manhattan,5851,0.0682509627768785,0.894826802609987,0.017757781826785,0.0191644527863498
115,Grymes Hill/Clifton,Staten Island,7330,0.223508370361368,0.75355160791166,0.010771220810501,0.0121688009164708
116,Hamilton Heights,Manhattan,18202,0.0352697235058062,0.93937837232887,0.00719175701069899,0.0181601471546244
117,Hammels/Arverne,Queens,10816,0.124017734773491,0.856638580921194,0.00728031226103561,0.0120633720442796
118,Heartland Village/Todt Hill,Staten Island,13118,0.60130293995568,0.375238293423422,0.0135941369686406,0.00986462965225724
119,Highbridge,Bronx,10297,0.0405466816019859,0.94937044287776,0.00347899302137079,0.00660388249888352
120,Highbridge Park,Manhattan,2076,0.0450072637239177,0.938299048247022,0.00574763666786065,0.0109460513611998
121,Hillcrest/Pomonok,Queens,9900,0.28359736944357,0.692150507713695,0.0116816568710219,0.0125704659717127
122,Hollis,Queens,6629,0.0476576613329856,0.938772430364987,0.00316032249322296,0.0104095858088042
123,Homecrest,Brooklyn,9860,0.667296158601903,0.310499229084495,0.0128776535395116,0.00932695877409013
124,Howard Beach,Queens,10487,0.580222162041303,0.399824122545127,0.0108303389441758,0.00912337646939331
125,Hudson Sq,Manhattan,1365,0.0898701853013608,0.879268052760783,0.0165291989685387,0.0143325629693176
126,Hunts Point,Bronx,6286,0.052838257515216,0.933344088229473,0.00477023772874376,0.00904741652656668
127,Inwood,Manhattan,14258,0.0643207379873823,0.909934465830266,0.00712383970739657,0.0186209564749552
128,Inwood Hill Park,Manhattan,609,0.0839790514786988,0.89102345352338,0.00778640937607621,0.0172110856218447
129,Jackson Heights,Queens,29984,0.158302879917598,0.814218766567229,0.00860490210887798,0.0188734514062949
130,Jamaica,Queens,15624,0.0913171304079072,0.896737431506893,0.00370231297192383,0.00824312511327591
131,Jamaica Estates,Queens,9762,0.200390812118478,0.78154632371179,0.00797388176534967,0.0100889824043825
132,JFK Airport,Queens,382,0.0428571428571429,0.947619047619048,0.00476190476190476,0.00476190476190476
133,Kensington,Brooklyn,10874,0.221242014820483,0.749750095603094,0.0100471647940615,0.0189607247823615
134,Kew Gardens,Queens,7871,0.24458565686801,0.718455360570141,0.0155460446164496,0.0214129379453992
135,Kew Gardens Hills,Queens,10278,0.379873754003182,0.592389904774564,0.0153339665321098,0.0124023746901445
136,Kingsbridge Heights,Bronx,8805,0.0540877702791069,0.925821909510955,0.00717393298842807,0.0129163872215098
137,Kips Bay,Manhattan,9007,0.124139560961051,0.841755053327507,0.0210862796638016,0.0130191060476402
138,LaGuardia Airport,Queens,951,0.137911583461866,0.844371728668922,0.00212460957476426,0.0155920782944483
139,Laurelton,Queens,10435,0.0240134313560707,0.96223425707144,0.00374910923730768,0.0100032023351819
140,Lenox Hill East,Manhattan,11827,0.172645357051498,0.796010960981735,0.0184807746463479,0.0128629073204189
141,Lenox Hill West,Manhattan,18521,0.18167298795642,0.790185465236875,0.0195650114411651,0.00857653536554041
142,Lincoln Square East,Manhattan,14638,0.124402808972732,0.84791266383381,0.0176496947481842,0.0100348324452744
143,Lincoln Square West,Manhattan,15820,0.118710188726108,0.856006729346918,0.0157114548863594,0.00957162704061404
144,Little Italy/NoLiTa,Manhattan,4366,0.104219567584678,0.864306879594405,0.0154994983221861,0.0159740544987317
145,Long Island City/Hunters Point,Queens,7122,0.0955584553642531,0.870405738699136,0.0209686454587638,0.0130671604778478
146,Long Island City/Queens Plaza,Queens,1738,0.0965337720471954,0.86250237106923,0.0165703862394108,0.024393470644164
147,Longwood,Bronx,7114,0.0507351576646545,0.936531859981562,0.00349545119483362,0.00923753115895009
148,Lower East Side,Manhattan,6937,0.0995641948439487,0.870329564079496,0.0134606797620483,0.0166455613145065
149,Madison,Brooklyn,10695,0.554142223382076,0.421805838226919,0.0131499863292555,0.0109019520617501
150,Manhattan Beach,Brooklyn,3333,0.594171026187314,0.386059955763465,0.0118087408709215,0.00796027717829939
