car_type,pickup_hour,trips
uber,2016-12-14T12:00:00Z,139
uber,2016-12-14T13:00:00Z,99
uber,2016-12-14T14:00:00Z,85
uber,2016-12-14T15:00:00Z,91
uber,2016-12-14T16:00:00Z,71
uber,2016-12-14T17:00:00Z,141
uber,2016-12-14T18:00:00Z,153
uber,2016-12-14T19:00:00Z,317
uber,2016-12-14T20:00:00Z,306
uber,2016-12-14T21:00:00Z,227
uber,2016-12-14T22:00:00Z,272
uber,2016-12-14T23:00:00Z,190
uber,2016-12-15T00:00:00Z,204
uber,2016-12-15T01:00:00Z,297
uber,2016-12-15T02:00:00Z,382
uber,2016-12-15T03:00:00Z,325
uber,2016-12-15T04:00:00Z,286
uber,2016-12-15T05:00:00Z,267
uber,2016-12-15T06:00:00Z,107
uber,2016-12-15T07:00:00Z,24
uber,2016-12-15T08:00:00Z,6
uber,2016-12-15T09:00:00Z,41
uber,2016-12-15T10:00:00Z,136
uber,2016-12-15T11:00:00Z,204
uber,2016-12-15T12:00:00Z,191
uber,2016-12-15T13:00:00Z,182
uber,2016-12-15T14:00:00Z,87
uber,2016-12-15T15:00:00Z,111
uber,2016-12-15T16:00:00Z,98
uber,2016-12-15T17:00:00Z,156
uber,2016-12-15T18:00:00Z,220
uber,2016-12-15T19:00:00Z,229
uber,2016-12-15T20:00:00Z,323
uber,2016-12-15T21:00:00Z,295
uber,2016-12-15T22:00:00Z,276
uber,2016-12-15T23:00:00Z,199
uber,2016-12-16T00:00:00Z,214
uber,2016-12-16T01:00:00Z,264
uber,2016-12-16T02:00:00Z,320
uber,2016-12-16T03:00:00Z,358
uber,2016-12-16T04:00:00Z,341
uber,2016-12-16T05:00:00Z,382
uber,2016-12-16T06:00:00Z,164
uber,2016-12-16T07:00:00Z,66
uber,2016-12-16T08:00:00Z,93
uber,2016-12-16T09:00:00Z,105
uber,2016-12-16T10:00:00Z,134
uber,2016-12-16T11:00:00Z,260
uber,2016-12-16T12:00:00Z,235
uber,2016-12-16T13:00:00Z,145
uber,2016-12-16T14:00:00Z,199
uber,2016-12-16T15:00:00Z,153
uber,2016-12-16T16:00:00Z,126
uber,2016-12-16T17:00:00Z,185
uber,2016-12-16T18:00:00Z,182
uber,2016-12-16T19:00:00Z,284
uber,2016-12-16T20:00:00Z,333
uber,2016-12-16T21:00:00Z,288
uber,2016-12-16T22:00:00Z,285
