locationid,zone,borough,lyft_share_change,pre_strike_lyft_share,post_strike_lyft_share,rest_of_2017_lyft_share,lyft_share_2016,lyft_share_change_pct,pre_strike_lyft_share_pct,post_strike_lyft_share_pct,rest_of_2017_lyft_share_pct,lyft_share_2016_pct
128,Inwood Hill Park,Manhattan,0.05204493593119185536,0.15165876777251184834,0.20370370370370370370,0.13371318139410902306,0.13165027491675056145,5%,15%,20%,13%,13%
243,Washington Heights North,Manhattan,0.05187292000228898962,0.17576234621887936563,0.22763526622116835525,0.17562386824443768081,0.20478255107257133120,5%,18%,23%,18%,20%
231,TriBeCa/Civic Center,Manhattan,0.05183648910846954162,0.08345082288535999945,0.13528731199382954107,0.14593797984715195486,0.08264690748423382239,5%,8%,14%,15%,8%
234,Union Sq,Manhattan,0.05171892395739632628,0.08900617283950617284,0.14072509679690249912,0.15221088763329926529,0.08877182685079825852,5%,9%,14%,15%,9%
14,Bay Ridge,Brooklyn,0.05123349230190244583,0.13790706654653108508,0.18914055884843353091,0.18329872014612603370,0.14082019954745287839,5%,14%,19%,18%,14%
138,LaGuardia Airport,Queens,0.05117267613901458227,0.11526477649788232755,0.16643745263689690982,0.20582782605053925190,0.10341628227123763343,5%,12%,17%,21%,10%
177,Ocean Hill,Brooklyn,0.05076547571159389168,0.21196548418024928092,0.26273095989184317260,0.22982765892958200243,0.24685170907221793883,5%,21%,26%,23%,25%
200,Riverdale/North Riverdale/Fieldston,Bronx,0.05071364101929153179,0.09210318088305111568,0.14281682190234264747,0.14140734426948594101,0.10751262571196804103,5%,9%,14%,14%,11%
68,East Chelsea,Manhattan,0.05069306702628377417,0.10093936945539423320,0.15163243648167800737,0.17036397513726703271,0.10321135988049659780,5%,10%,15%,17%,10%
71,East Flatbush/Farragut,Brooklyn,0.04962508685201900216,0.16444526490677496769,0.21407035175879396985,0.16855762311092834379,0.23725793150516128421,5%,16%,21%,17%,24%
151,Manhattan Valley,Manhattan,0.04911324935661789903,0.10184267204540015726,0.15095592140201805629,0.17859665728680236774,0.11179210508679042960,5%,10%,15%,18%,11%
48,Clinton East,Manhattan,0.04909958079078392461,0.12647826192972617103,0.17557784272051009564,0.16946789326835769496,0.12397501183554061108,5%,13%,18%,17%,12%
186,Penn Station/Madison Sq West,Manhattan,0.04904157169217410181,0.11582329317269076305,0.16486486486486486486,0.21583880091364800025,0.10439669956445460125,5%,12%,16%,22%,10%
217,South Williamsburg,Brooklyn,0.04882436612887071853,0.16750599520383693046,0.21633036133270764899,0.21421271079757201082,0.20508718171217832253,5%,17%,22%,21%,21%
107,Gramercy,Manhattan,0.04870307987912271919,0.10230619453440701349,0.15100927441352973268,0.16097224179230660843,0.11439267810834075014,5%,10%,15%,16%,11%
102,Glendale,Queens,0.04868636721428599601,0.25503768650976772804,0.30372405372405372405,0.27458830118861245908,0.23182149652565316882,5%,26%,30%,27%,23%
77,East New York/Pennsylvania Avenue,Brooklyn,0.04761763282951337512,0.19444065018440103811,0.24205828301391441323,0.18369049055585920032,0.25741819427788247387,5%,19%,24%,18%,26%
5,Arden Heights,Staten Island,0.04720822414835718605,0.05609756097560975610,0.10330578512396694215,0.11227749885896850753,0.10047063638223859218,5%,6%,10%,11%,10%
196,Rego Park,Queens,0.04684659973914770639,0.23589479870702321481,0.28274139844617092120,0.23606338218770247771,0.21662039179392256671,5%,24%,28%,24%,22%
160,Middle Village,Queens,0.04683323008820353339,0.21893104855161158711,0.26576427863981512050,0.21842220028920972296,0.19992682906077442080,5%,22%,27%,22%,20%
173,North Corona,Queens,0.04666529843735960333,0.31406529516994633274,0.36073059360730593607,0.25363169559588334687,0.30751610395379831186,5%,31%,36%,25%,31%
50,Clinton West,Manhattan,0.04643707746875551586,0.12203991388840402630,0.16847699135715954216,0.22056263139263551051,0.12580076884461589061,5%,12%,17%,22%,13%
85,Erasmus,Brooklyn,0.04584081244290856584,0.17623905089256015079,0.22207986333546871663,0.17784993551323875275,0.21771607220896224829,5%,18%,22%,18%,22%
187,Port Richmond,Staten Island,0.04513150701573224807,0.13803680981595092025,0.18316831683168316832,0.20028842056963062502,0.12737605330197922791,5%,14%,18%,20%,13%
134,Kew Gardens,Queens,0.04482579746006709802,0.21280713564456411982,0.25763293310463121784,0.24308718894703158529,0.19176225781632510317,4%,21%,26%,24%,19%
88,Financial District South,Manhattan,0.04428956749978507831,0.11816942551119766310,0.16245899301098274141,0.19152815938297007257,0.10905617722745403884,4%,12%,16%,19%,11%
180,Ozone Park,Queens,0.04391397303110288541,0.28573320969664856272,0.32964718272775144813,0.26958443276562647651,0.25832271069872231939,4%,29%,33%,27%,26%
