end_taxi_zone_id,time_bucket,taxi_trips,citi_trips,start_taxi_zone_id,taxi_win_rate,taxi_mean,citi_mean,taxi_median,citi_median,taxi_avg_winning_margin,citi_avg_winning_margin,start_zone,start_borough,end_zone,end_borough
137,morning,64,33,4,0.6486,591.46875,726.7575757575758,583,671,280.6608078939254,148.5552077404667,Alphabet City,Manhattan,Kips Bay,Manhattan
137,other,107,62,4,0.7693,467.93457943925233,637.3387096774194,450,598.5,258.72156505914467,125.71998266146511,Alphabet City,Manhattan,Kips Bay,Manhattan
141,evening,25,8,4,0.7435,1039.64,1258.75,958,1242,357.0114324142569,206.99103313840155,Alphabet City,Manhattan,Lenox Hill West,Manhattan
141,midday,17,7,4,0.4416,1294.3529411764705,1213.2857142857142,1251,1221,114.53985507246377,233.58757163323781,Alphabet City,Manhattan,Lenox Hill West,Manhattan
141,other,55,6,4,0.9502,882.6,1511.6666666666667,865,1537,686.9185434645337,425.96787148594376,Alphabet City,Manhattan,Lenox Hill West,Manhattan
143,evening,7,6,4,0.8045,1714.7142857142858,2042.5,1584,2158,460.16606587942823,209.35294117647058,Alphabet City,Manhattan,Lincoln Square West,Manhattan
144,afternoon,40,63,4,0.6571,587.9,671.2698412698413,581,653,241.96986760006087,224.37416156313793,Alphabet City,Manhattan,Little Italy/NoLiTa,Manhattan
144,evening,56,63,4,0.6828,578.125,790.9206349206349,545.5,678,402.77665495020506,180.7894073139975,Alphabet City,Manhattan,Little Italy/NoLiTa,Manhattan
144,midday,74,77,4,0.5283,700.5675675675676,790.6233766233767,679,749,371.76831345826236,257.0211999152003,Alphabet City,Manhattan,Little Italy/NoLiTa,Manhattan
144,morning,76,163,4,0.584,649.5394736842105,716.4723926380368,654,701,246.4375,186.1846153846154,Alphabet City,Manhattan,Little Italy/NoLiTa,Manhattan
144,other,83,60,4,0.6241,487.8072289156627,570.6,492,545,210.53757410671366,125.92950252726789,Alphabet City,Manhattan,Little Italy/NoLiTa,Manhattan
148,afternoon,101,185,4,0.6584,391.4257425742574,511.79459459459457,347,455,271.42633657351155,171.4429156908665,Alphabet City,Manhattan,Lower East Side,Manhattan
148,evening,159,111,4,0.6759,438.3836477987421,589.7657657657658,390,541,336.976919662672,238.91113853748843,Alphabet City,Manhattan,Lower East Side,Manhattan
148,midday,131,171,4,0.7057,404.32824427480915,578.2982456140351,345,557,333.4270936658637,208.11688752973157,Alphabet City,Manhattan,Lower East Side,Manhattan
148,morning,102,162,4,0.7516,357.94117647058823,583.7283950617284,302,557,361.00705162320384,199.89452495974234,Alphabet City,Manhattan,Lower East Side,Manhattan
148,other,283,237,4,0.7263,342.36042402826854,478.47679324894517,312,504,247.5635412364037,168.40263061746438,Alphabet City,Manhattan,Lower East Side,Manhattan
158,afternoon,16,7,4,0.5708,1107.25,1014.4285714285714,972,1059,204.2156622284513,469.5465983224604,Alphabet City,Manhattan,Meatpacking/West Village West,Manhattan
158,evening,26,12,4,0.7071,908.4230769230769,1226.3333333333333,915,1049.5,513.2955734690992,174.74257425742573,Alphabet City,Manhattan,Meatpacking/West Village West,Manhattan
158,midday,24,10,4,0.7016,947.625,1153.7,955,1076.5,360.6743158494869,152.25569705093835,Alphabet City,Manhattan,Meatpacking/West Village West,Manhattan
158,morning,20,23,4,0.3423,1010.55,953.695652173913,1014.5,890,234.92871749926965,209.61882317165882,Alphabet City,Manhattan,Meatpacking/West Village West,Manhattan
158,other,51,19,4,0.5166,796.2549019607843,802.6315789473684,789,794,168.93670150987225,167.4486967314853,Alphabet City,Manhattan,Meatpacking/West Village West,Manhattan
161,afternoon,21,10,4,0.5437,1629.904761904762,1558.4,1498,1618,311.1774875850653,536.6609686609687,Alphabet City,Manhattan,Midtown Center,Manhattan
161,midday,32,8,4,0.3772,1579.71875,1394.25,1437,1361,309.23250265111346,488.69588953114965,Alphabet City,Manhattan,Midtown Center,Manhattan
161,morning,63,9,4,0.3314,1390.2698412698412,1251.111111111111,1389,1057,380.43512371756185,397.9735267723602,Alphabet City,Manhattan,Midtown Center,Manhattan
161,other,74,17,4,0.933,868.3243243243244,1385.5294117647059,796,1364,578.4808145766345,202.39402985074628,Alphabet City,Manhattan,Midtown Center,Manhattan
162,afternoon,10,5,4,0.6,1239,1396.2,1204.5,1195,497.8015,347.85875,Alphabet City,Manhattan,Midtown East,Manhattan
162,morning,89,54,4,0.6176,1098.7078651685392,1203.7222222222222,1049,1176,315.1523639896373,228.79471757322176,Alphabet City,Manhattan,Midtown East,Manhattan
162,other,129,27,4,0.8933,785.9069767441861,1215.4814814814815,712,1145,516.6440165677824,308.0328022492971,Alphabet City,Manhattan,Midtown East,Manhattan
163,morning,10,22,4,0.6661,1736.4,1880.909090909091,1628,1885,409.9303407896712,399.98262952979934,Alphabet City,Manhattan,Midtown North,Manhattan
163,other,26,18,4,0.7515,1147.1923076923076,1389.611111111111,1156,1280,374.74690618762475,156.3440643863179,Alphabet City,Manhattan,Midtown North,Manhattan
164,afternoon,32,5,4,0.7375,1154.90625,1343.2,1075,1234,362.368,330.6819047619048,Alphabet City,Manhattan,Midtown South,Manhattan
164,evening,41,8,4,0.5857,1003.2926829268292,1077,979,1055.5,283.624551818337,231.90031378228338,Alphabet City,Manhattan,Midtown South,Manhattan
164,morning,45,75,4,0.3515,1213.888888888889,1081.1066666666666,1181,1086,201.41024182076814,319.1221279876638,Alphabet City,Manhattan,Midtown South,Manhattan
164,other,62,30,4,0.745,848.6129032258065,1104.9333333333334,820,966.5,402.95140939597314,179.27450980392157,Alphabet City,Manhattan,Midtown South,Manhattan
170,afternoon,33,34,4,0.404,1069.1818181818182,935.7647058823529,1014,962.5,259.3782178217822,417.3244966442953,Alphabet City,Manhattan,Murray Hill,Manhattan
170,evening,62,17,4,0.6968,808.5645161290323,980.1764705882352,757,963,344.47933409873707,210.57651715039577,Alphabet City,Manhattan,Murray Hill,Manhattan
170,midday,80,60,4,0.4385,1077.025,975.1333333333333,1010.5,930,269.3826681870011,391.4486197684773,Alphabet City,Manhattan,Murray Hill,Manhattan
170,morning,74,218,4,0.4551,1039.2027027027027,977.1467889908257,993.5,957,254.05998681608438,332.20774454028265,Alphabet City,Manhattan,Murray Hill,Manhattan
170,other,157,74,4,0.8836,651.0191082802547,978.5675675675676,640,948.5,394.6411272068809,173.71563573883162,Alphabet City,Manhattan,Murray Hill,Manhattan
186,afternoon,24,8,4,0.306,1271.4583333333333,1125.625,1205.5,975.5,347.89019607843136,360.78602305475505,Alphabet City,Manhattan,Penn Station/Madison Sq West,Manhattan
186,evening,51,11,4,0.6023,1086.1960784313726,1143.1818181818182,1053,1139,223.62659804084345,205.50993210963037,Alphabet City,Manhattan,Penn Station/Madison Sq West,Manhattan
186,midday,42,27,4,0.2412,1479.095238095238,1183.5555555555557,1481.5,1115,299.0107794361526,482.2347127042699,Alphabet City,Manhattan,Penn Station/Madison Sq West,Manhattan
186,morning,45,55,4,0.2638,1416.8666666666666,1186.7636363636364,1375,1140,191.3055344958302,372.8581907090465,Alphabet City,Manhattan,Penn Station/Madison Sq West,Manhattan
186,other,126,30,4,0.7613,850.531746031746,1035.9666666666667,839.5,1015,292.2669118612899,143.84289903644742,Alphabet City,Manhattan,Penn Station/Madison Sq West,Manhattan
209,afternoon,7,6,4,0.8553,792.1428571428571,1143.5,824,1080,423.25733660703844,57.42916378714582,Alphabet City,Manhattan,Seaport,Manhattan
209,evening,16,6,4,0.9163,611.625,1205.5,622,1254,659.3057950452909,116.3225806451613,Alphabet City,Manhattan,Seaport,Manhattan
209,midday,30,10,4,0.9384,668.3,1294.2,621,1227,676.4725063938619,211.85227272727272,Alphabet City,Manhattan,Seaport,Manhattan
209,morning,28,37,4,0.8922,667.0714285714286,961.6486486486486,608,851,356.3982290966151,227.5426716141002,Alphabet City,Manhattan,Seaport,Manhattan
211,afternoon,23,26,4,0.5069,739.9565217391304,854.3846153846154,754,701,418.1181692641547,189.49097546136687,Alphabet City,Manhattan,SoHo,Manhattan
211,midday,59,10,4,0.6126,645.3559322033898,717.5,638,703,238.89258896506692,184.323954568921,Alphabet City,Manhattan,SoHo,Manhattan
211,morning,51,15,4,0.6667,626.6078431372549,729.5333333333333,619,670,219.77081145942702,137.74977497749774,Alphabet City,Manhattan,SoHo,Manhattan
224,afternoon,22,122,4,0.7668,310.6818181818182,488.4918032786885,281.5,393,269.98265519040166,114.59133790737565,Alphabet City,Manhattan,Stuy Town/Peter Cooper Village,Manhattan
224,evening,49,105,4,0.7886,325.46938775510205,534.5428571428571,271,386,332.5026629469947,248.6031220435194,Alphabet City,Manhattan,Stuy Town/Peter Cooper Village,Manhattan
224,midday,32,85,4,0.753,311.4375,472.16470588235296,283,429,268.6760956175299,133.29878542510122,Alphabet City,Manhattan,Stuy Town/Peter Cooper Village,Manhattan
224,morning,14,80,4,0.8053,311.92857142857144,490.2125,298,496,242.94796970073264,89.18130457113509,Alphabet City,Manhattan,Stuy Town/Peter Cooper Village,Manhattan
