base_number,base_name,dba,dba_category
B01083,BROAD DYCKMAN C/S INC,,other
B01087,ELITE LIMO PLUS INC,,other
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,other
B01091,A & R GOLDEN EXP INC,,other
B01109,UNITED EXP C/L SVCE,,other
B01118,INTERNATIONAL CAR SERVICE INC.,,other
B01124,COOPERATIVA CLBNA DE CON INC,,other
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,other
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,other
B01145,ULTRA RADIO DISP INC,,other
B01146,CHURCH AVE C/S INC,,other
B01148,EVELYN CAR SERVICE INC,,other
B01175,PACIFIC CAR SERVICE INC.,HEIGHTS CAR & LIMO,other
B01176,SANTO DOMINGO C/S INC,,other
B01177,SLMK INC.,AA PDQ CAR & LIMOUSINE SERVICE,other
B01183,"ODYSSEY TRANSPORTATION, LLC",,other
B01190,NEW BELL CAR SERVICE CORP,,other
B01194,440 CAR SERVICE INC.,,other
B01195,ALEX II,,other
B01196,DIPLO RAD DISP INC,,other
B01197,"TEL-A-CAR OF NEW YORK, LLC",,other
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,other
B01215,ECUADOOR CORP,,other
B01222,ANDREA CAR SVCE INC,,other
B01231,GO CAR CORP.,,other
B01233,NEW LACONIA RAD DISP INC,,other
B01234,BAILEY RADIO CAR & LIMO. CORP.,,other
B01236,BLS LIMO SVC OF NY INC,,other
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,other
B01244,MASADA II C/L SVC INC,,other
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,other
B01259,THE NEW BROOKLYN C/S INC,,other
B01263,"RACHEL'S CAR SERVICE,INC.",,other
B01264,MEXICANA HIGH CLASS #2 INC.,,other
B01265,CAPRICE C/S CORP,,other
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,other
B01273,PUERTO RICO CAR SERVICE INC.,,other
B01280,BENSONHURST RIDE INC.,,other
B01282,NEW LOTS C/S INC,,other
B01285,UNION RADIO DISPATCH INC,,other
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,other
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,DELTA CAR SVCE,other
B01300,KENNEDY RAD DISP INC,,other
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,other
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,other
B01311,DISCOUNT CAR SVCE,,other
B01312,BROOKLYN RAD DISP INC,,other
B01313,JOY CAR SERVICES INC.,,other
B01315,"V.I.T. CAR SERVICE, INC.",,other
B01318,LOWER EAST SIDE C/S CORP,,other
B01326,DEBORAH C/L SVC INC,,other
